model,calibration,risk_bin,n,events,mean_predicted,observed_proportion,minimum_predicted,maximum_predicted
M1_single_assessment,none_original_transport,1,691,65,0.196217082283139,0.09406657018813314,0.015736069398116278,0.2906079424851886
M1_single_assessment,none_original_transport,2,691,134,0.34789811421649036,0.1939218523878437,0.2906079424851886,0.401307052069295
M1_single_assessment,none_original_transport,3,690,142,0.4428533440742218,0.20579710144927535,0.401307052069295,0.48260934861912763
M1_single_assessment,none_original_transport,4,691,163,0.5194567391106499,0.23589001447178004,0.482922699479298,0.5542736828430551
M1_single_assessment,none_original_transport,5,691,178,0.5839699424433327,0.2575976845151954,0.5542736828430551,0.6119068460510954
M1_single_assessment,none_original_transport,6,690,226,0.6411045049528922,0.32753623188405795,0.6119068460510954,0.6693208854618333
M1_single_assessment,none_original_transport,7,691,225,0.6971583632900845,0.3256150506512301,0.6693208854618333,0.7254591637090164
M1_single_assessment,none_original_transport,8,690,266,0.7557975890422098,0.3855072463768116,0.7254591637090164,0.7838488453364014
M1_single_assessment,none_original_transport,9,691,295,0.8161603024639115,0.426917510853835,0.7840358790405731,0.8493421535339857
M1_single_assessment,none_original_transport,10,691,404,0.8915190829218828,0.5846599131693199,0.8493421535339857,0.9833463173752015
M1_single_assessment,cv_intercept_slope,1,691,67,0.10443548352612562,0.09696092619392185,0.020864076365858308,0.1417227042725034
M1_single_assessment,cv_intercept_slope,2,691,136,0.165293060142187,0.19681620839363242,0.14182091699463972,0.1868074954660925
M1_single_assessment,cv_intercept_slope,3,690,139,0.20541664012002903,0.20144927536231885,0.18682200940244983,0.22376129051233168
M1_single_assessment,cv_intercept_slope,4,691,163,0.24070454952654266,0.23589001447178004,0.22376129051233168,0.2574821712397681
M1_single_assessment,cv_intercept_slope,5,691,181,0.2739497161028806,0.2619392185238784,0.2576823030971109,0.2897912501792829
M1_single_assessment,cv_intercept_slope,6,690,222,0.3071088323322709,0.3217391304347826,0.289809710781471,0.32478124961351307
M1_single_assessment,cv_intercept_slope,7,691,226,0.34420721847352165,0.32706222865412443,0.32478124961351307,0.36508582835834863
M1_single_assessment,cv_intercept_slope,8,690,266,0.3900843603615191,0.3855072463768116,0.36534486379449344,0.4156745377210434
M1_single_assessment,cv_intercept_slope,9,691,292,0.44896707111429984,0.42257597684515197,0.4156745377210434,0.48498303716319185
M1_single_assessment,cv_intercept_slope,10,691,406,0.556766936428513,0.5875542691751086,0.48498303716319185,0.8293555936135625
M2_repeat_assessment,none_original_transport,1,691,57,0.14507987802525263,0.0824891461649783,0.006349815458885022,0.22143045044498147
M2_repeat_assessment,none_original_transport,2,691,96,0.27140476610614506,0.1389290882778582,0.2216256986509412,0.31451334122811253
M2_repeat_assessment,none_original_transport,3,690,127,0.3572607213895995,0.18405797101449275,0.3147984302534693,0.3952634408957399
M2_repeat_assessment,none_original_transport,4,691,164,0.4312255499333552,0.23733719247467439,0.3955540131950611,0.4643836077977512
M2_repeat_assessment,none_original_transport,5,691,183,0.495434989520745,0.26483357452966716,0.4644074601635162,0.5278768384444668
M2_repeat_assessment,none_original_transport,6,690,213,0.5592285605333149,0.30869565217391304,0.5279099975660102,0.5934618936062116
M2_repeat_assessment,none_original_transport,7,691,226,0.6249929935347585,0.32706222865412443,0.5934618936062116,0.6581594363213868
M2_repeat_assessment,none_original_transport,8,690,272,0.6909862168794833,0.39420289855072466,0.6581594363213868,0.7264339026092624
M2_repeat_assessment,none_original_transport,9,691,325,0.7626333421849975,0.4703328509406657,0.7266965446864881,0.8012021658237746
M2_repeat_assessment,none_original_transport,10,691,435,0.8619179574483941,0.6295224312590448,0.8015816043882299,0.9780814655409765
M2_repeat_assessment,cv_intercept_slope,1,691,57,0.0804789237450769,0.0824891461649783,0.006586836308414085,0.11681636568531505
M2_repeat_assessment,cv_intercept_slope,2,691,96,0.14090807688722318,0.1389290882778582,0.11695169449449958,0.16234628883709457
M2_repeat_assessment,cv_intercept_slope,3,690,127,0.1840929355809294,0.18405797101449275,0.16240090252587155,0.20458148164724166
M2_repeat_assessment,cv_intercept_slope,4,691,164,0.22398412176251795,0.23733719247467439,0.20463313966328892,0.24294128128090534
M2_repeat_assessment,cv_intercept_slope,5,691,184,0.2615796508485399,0.2662807525325615,0.24309113625306636,0.2815910624693016
M2_repeat_assessment,cv_intercept_slope,6,690,210,0.30258328029230885,0.30434782608695654,0.2815989139884259,0.32629785116937754
M2_repeat_assessment,cv_intercept_slope,7,691,228,0.3501334468652535,0.3299565846599132,0.32657600545931303,0.37633301285513987
M2_repeat_assessment,cv_intercept_slope,8,690,274,0.4049714696724785,0.39710144927536234,0.3763398679365245,0.43803005516054805
M2_repeat_assessment,cv_intercept_slope,9,691,325,0.47575157779419286,0.4703328509406657,0.4380600276925317,0.520666320303771
M2_repeat_assessment,cv_intercept_slope,10,691,433,0.6125399126896799,0.6266280752532561,0.5209520555812501,0.8879416440797437
