model,calibration,threshold,net_benefit
treat_none,reference,0.05,0.0
treat_all,reference,0.05,0.2671050726570299
M1_single_assessment,none_original_transport,0.05,0.2672879534873088
M1_single_assessment,cv_intercept_slope,0.05,0.2672879534873088
M2_repeat_assessment,none_original_transport,0.05,0.26731843362568863
M2_repeat_assessment,cv_intercept_slope,0.05,0.26714317283000466
treat_none,reference,0.07500000000000001,0.0
treat_all,reference,0.07500000000000001,0.24729710164776036
M1_single_assessment,none_original_transport,0.07500000000000001,0.24758274997163082
M1_single_assessment,cv_intercept_slope,0.07500000000000001,0.24774318259188677
M2_repeat_assessment,none_original_transport,0.07500000000000001,0.247884050258453
M2_repeat_assessment,cv_intercept_slope,0.07500000000000001,0.24813839465641985
treat_none,reference,0.10000000000000002,0.0
treat_all,reference,0.10000000000000002,0.2263886878046426
M1_single_assessment,none_original_transport,0.10000000000000002,0.22693563695445845
M1_single_assessment,cv_intercept_slope,0.10000000000000002,0.22728954522786865
M2_repeat_assessment,none_original_transport,0.10000000000000002,0.22770780046008077
M2_repeat_assessment,cv_intercept_slope,0.10000000000000002,0.22865691810240818
treat_none,reference,0.12500000000000003,0.0
treat_all,reference,0.12500000000000003,0.20428550745620383
M1_single_assessment,none_original_transport,0.12500000000000003,0.20583672878446294
M1_single_assessment,cv_intercept_slope,0.12500000000000003,0.20653994911994042
M2_repeat_assessment,none_original_transport,0.12500000000000003,0.20678814453246186
M2_repeat_assessment,cv_intercept_slope,0.12500000000000003,0.21003536784628432
treat_none,reference,0.15000000000000002,0.0
treat_all,reference,0.15000000000000002,0.1808821400284451
M1_single_assessment,none_original_transport,0.15000000000000002,0.18354780742469273
M1_single_assessment,cv_intercept_slope,0.15000000000000002,0.18596649605259796
M2_repeat_assessment,none_original_transport,0.15000000000000002,0.18616237576542127
M2_repeat_assessment,cv_intercept_slope,0.15000000000000002,0.1890750219300113
treat_none,reference,0.17500000000000004,0.0
treat_all,reference,0.17500000000000004,0.15606038669597372
M1_single_assessment,none_original_transport,0.17500000000000004,0.1603467716107067
M1_single_assessment,cv_intercept_slope,0.17500000000000004,0.16469457862247783
M2_repeat_assessment,none_original_transport,0.17500000000000004,0.16444011564903407
M2_repeat_assessment,cv_intercept_slope,0.17500000000000004,0.17272771145653726
treat_none,reference,0.20000000000000007,0.0
treat_all,reference,0.20000000000000007,0.12968727378022285
M1_single_assessment,none_original_transport,0.20000000000000007,0.13602142753728091
M1_single_assessment,cv_intercept_slope,0.20000000000000007,0.14322426523816412
M2_repeat_assessment,none_original_transport,0.20000000000000007,0.14206601997973065
M2_repeat_assessment,cv_intercept_slope,0.20000000000000007,0.15458954683654255
treat_none,reference,0.22500000000000003,0.0
treat_all,reference,0.22500000000000003,0.10161266970861718
M1_single_assessment,none_original_transport,0.22500000000000003,0.11159786471882185
M1_single_assessment,cv_intercept_slope,0.22500000000000003,0.12416108949779789
M2_repeat_assessment,none_original_transport,0.22500000000000003,0.12047618825221723
M2_repeat_assessment,cv_intercept_slope,0.22500000000000003,0.13733612931247868
treat_none,reference,0.25000000000000006,0.0
treat_all,reference,0.25000000000000006,0.07166642536557105
M1_single_assessment,none_original_transport,0.25000000000000006,0.08706143525891602
M1_single_assessment,cv_intercept_slope,0.25000000000000006,0.10848897253993531
M2_repeat_assessment,none_original_transport,0.25000000000000006,0.09965735244438004
M2_repeat_assessment,cv_intercept_slope,0.25000000000000006,0.11978186380966166
treat_none,reference,0.2750000000000001,0.0
treat_all,reference,0.2750000000000001,0.03965492279196997
M1_single_assessment,none_original_transport,0.2750000000000001,0.06151680204490187
M1_single_assessment,cv_intercept_slope,0.2750000000000001,0.09071257045575945
M2_repeat_assessment,none_original_transport,0.2750000000000001,0.07524100987004673
M2_repeat_assessment,cv_intercept_slope,0.2750000000000001,0.1042620430048476
treat_none,reference,0.3000000000000001,0.0
treat_all,reference,0.3000000000000001,0.005356884320254662
M1_single_assessment,none_original_transport,0.3000000000000001,0.03596765186456796
M1_single_assessment,cv_intercept_slope,0.3000000000000001,0.07718877329417358
M2_repeat_assessment,none_original_transport,0.3000000000000001,0.055678504208980434
M2_repeat_assessment,cv_intercept_slope,0.3000000000000001,0.09003288589215905
treat_none,reference,0.32500000000000007,0.0
treat_all,reference,0.32500000000000007,-0.03148174959380995
M1_single_assessment,none_original_transport,0.32500000000000007,0.007753808535624018
M1_single_assessment,cv_intercept_slope,0.32500000000000007,0.06234684083243511
M2_repeat_assessment,none_original_transport,0.32500000000000007,0.03547126103952511
M2_repeat_assessment,cv_intercept_slope,0.32500000000000007,0.07774721297234685
treat_none,reference,0.3500000000000001,0.0
treat_all,reference,0.3500000000000001,-0.07115412457818732
M1_single_assessment,none_original_transport,0.3500000000000001,-0.017496185586528823
M1_single_assessment,cv_intercept_slope,0.3500000000000001,0.050740051898297125
M2_repeat_assessment,none_original_transport,0.3500000000000001,0.014088271653060869
M2_repeat_assessment,cv_intercept_slope,0.3500000000000001,0.06736755354100071
treat_none,reference,0.3750000000000001,0.0
treat_all,reference,0.3750000000000001,-0.11400028956131486
M1_single_assessment,none_original_transport,0.3750000000000001,-0.04702475749239915
M1_single_assessment,cv_intercept_slope,0.3750000000000001,0.042333864195743406
M2_repeat_assessment,none_original_transport,0.3750000000000001,-0.006312436658462595
M2_repeat_assessment,cv_intercept_slope,0.3750000000000001,0.05898363978572459
treat_none,reference,0.4000000000000001,0.0
treat_all,reference,0.4000000000000001,-0.1604169682930363
M1_single_assessment,none_original_transport,0.4000000000000001,-0.07596158486559551
M1_single_assessment,cv_intercept_slope,0.4000000000000001,0.03498865884851113
M2_repeat_assessment,none_original_transport,0.4000000000000001,-0.0251918343709282
M2_repeat_assessment,cv_intercept_slope,0.4000000000000001,0.048935862168814195
treat_none,reference,0.4250000000000001,0.0
treat_all,reference,0.4250000000000001,-0.21086987995795087
M1_single_assessment,none_original_transport,0.4250000000000001,-0.10278167706359659
M1_single_assessment,cv_intercept_slope,0.4250000000000001,0.02911979655170241
M2_repeat_assessment,none_original_transport,0.4250000000000001,-0.04308798257596275
M2_repeat_assessment,cv_intercept_slope,0.4250000000000001,0.04189826326159343
treat_none,reference,0.4500000000000001,0.0
treat_all,reference,0.4500000000000001,-0.2659094199560397
M1_single_assessment,none_original_transport,0.4500000000000001,-0.12996038274741062
M1_single_assessment,cv_intercept_slope,0.4500000000000001,0.025178672492991265
M2_repeat_assessment,none_original_transport,0.4500000000000001,-0.06420364057543751
M2_repeat_assessment,cv_intercept_slope,0.4500000000000001,0.035958250523184604
treat_none,reference,0.47500000000000014,0.0
treat_all,reference,0.47500000000000014,-0.3261908209063273
M1_single_assessment,none_original_transport,0.47500000000000014,-0.1542396602480577
M1_single_assessment,cv_intercept_slope,0.47500000000000014,0.020889780553889403
M2_repeat_assessment,none_original_transport,0.47500000000000014,-0.07869173440333149
M2_repeat_assessment,cv_intercept_slope,0.47500000000000014,0.028632098561156012
treat_none,reference,0.5000000000000002,0.0
treat_all,reference,0.5000000000000002,-0.392500361951644
M1_single_assessment,none_original_transport,0.5000000000000002,-0.17952801505718877
M1_single_assessment,cv_intercept_slope,0.5000000000000002,0.018676704792239728
M2_repeat_assessment,none_original_transport,0.5000000000000002,-0.09251484001737392
M2_repeat_assessment,cv_intercept_slope,0.5000000000000002,0.025770957000144736
treat_none,reference,0.5250000000000001,0.0
treat_all,reference,0.5250000000000001,-0.46578985468594075
M1_single_assessment,none_original_transport,0.5250000000000001,-0.19891338306675935
M1_single_assessment,cv_intercept_slope,0.5250000000000001,0.012976918915211862
M2_repeat_assessment,none_original_transport,0.5250000000000001,-0.10642140315317047
M2_repeat_assessment,cv_intercept_slope,0.5250000000000001,0.021473257488588977
treat_none,reference,0.5500000000000003,0.0
treat_all,reference,0.5500000000000003,-0.5472226243907157
M1_single_assessment,none_original_transport,0.5500000000000003,-0.22492479449190075
M1_single_assessment,cv_intercept_slope,0.5500000000000003,0.00887988031465661
M2_repeat_assessment,none_original_transport,0.5500000000000003,-0.11429628557180352
M2_repeat_assessment,cv_intercept_slope,0.5500000000000003,0.01658542863117929
treat_none,reference,0.5750000000000002,0.0
treat_all,reference,0.5750000000000002,-0.6382357199431106
M1_single_assessment,none_original_transport,0.5750000000000002,-0.2459397542135433
M1_single_assessment,cv_intercept_slope,0.5750000000000002,0.0062170517548267214
M2_repeat_assessment,none_original_transport,0.5750000000000002,-0.12865038877864762
M2_repeat_assessment,cv_intercept_slope,0.5750000000000002,0.016317631729106857
treat_none,reference,0.6000000000000002,0.0
treat_all,reference,0.6000000000000002,-0.7406254524395552
M1_single_assessment,none_original_transport,0.6000000000000002,-0.25691327638627515
M1_single_assessment,cv_intercept_slope,0.6000000000000002,0.0062255682640799115
M2_repeat_assessment,none_original_transport,0.6000000000000002,-0.13667294049515016
M2_repeat_assessment,cv_intercept_slope,0.6000000000000002,0.013898943101201666
