subgroup,level,n,events,event_percent,m1_auroc,m2_auroc,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,m1_auprc,m2_auprc,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high,m1_brier,m2_brier,delta_brier,delta_brier_ci_low,delta_brier_ci_high,bootstrap_replicates
sex,female,3872,1193,30.810950413223143,0.6840315552305708,0.7145788219009295,0.030547266670358675,0.02305022972785229,0.03892933155955741,0.49252733987465014,0.5270906756895828,0.03456333581493265,0.019804488377693927,0.04835250986613004,0.3007704535235027,0.2488456874717631,-0.05192476605173957,-0.0553190523967545,-0.04836386526951162,1000
sex,male,3035,905,29.818780889621088,0.6659282027338989,0.6999852151583534,0.03405701242445458,0.02525940396138578,0.042769135571972844,0.4572144965977367,0.49804187492731394,0.040827378329577224,0.02570908573363893,0.05559580355594083,0.2624104079964091,0.22660566824772166,-0.03580473974868742,-0.03914714326012384,-0.032401273492414145,1000
age_group,50-64,2703,755,27.93192748797632,0.6780481254334552,0.7153473761507811,0.03729925071732598,0.028367879920597337,0.04703596344128111,0.4449515204719053,0.4989823009758025,0.0540307805038972,0.038585232783879535,0.07106832764965478,0.2662247810865135,0.22015151883377693,-0.04607326225273656,-0.049918640107568066,-0.04229618792697593,1000
age_group,65-74,2550,760,29.80392156862745,0.6628870185239636,0.6971243751837695,0.03423735665980587,0.02425777607377546,0.04400016119934718,0.45157578084813255,0.503148863835752,0.05157308298761942,0.03509322940891093,0.07015890752169171,0.2999760973254658,0.24990088506761188,-0.05007521225785394,-0.05490804113276499,-0.046001272992763624,1000
age_group,75+,1654,583,35.24788391777509,0.6764593773472797,0.6988275012692328,0.022368123921953087,0.011321705305427551,0.033084769942902645,0.5456610101773054,0.5492749141145037,0.003613903937198293,-0.015079028466775257,0.022654684705856968,0.2880617610975334,0.2533022325830669,-0.03475952851446651,-0.039468275481837574,-0.02986033444642641,1000
education,high,1364,401,29.398826979472144,0.6508896502254229,0.6838446459137721,0.03295499568834925,0.019945712042428156,0.046269619745314065,0.4277907105086901,0.4890832179750362,0.06129250746634607,0.038053128643129985,0.08338250644623271,0.26026838718104245,0.22371578639241096,-0.036552600788631484,-0.042094283449827075,-0.03137966455608148,1000
education,low,1660,544,32.7710843373494,0.7010528673835126,0.732439582015602,0.03138671463208942,0.021111516112418453,0.04272544438578768,0.5411059798896267,0.5759681716928933,0.03486219180326655,0.013501771408375253,0.05557246053657733,0.29484452158298036,0.24767196281717668,-0.047172558765803674,-0.052173198595774774,-0.042374235981696116,1000
education,middle,3368,1001,29.720902612826606,0.6697170594508998,0.7006561246104972,0.030939065159597434,0.022085546623583717,0.0394681746819735,0.4496341673207017,0.4749256410478744,0.025291473727172664,0.0120707029281505,0.04091180092281157,0.27885169594509795,0.23580186422445604,-0.04304983172064192,-0.04658700176989161,-0.03937435464613899,1000
education,missing,515,152,29.514563106796114,0.7209203276787008,0.7675076120052197,0.04658728432651882,0.022993444650037272,0.06951428949307849,0.560876655631061,0.6143397387926948,0.05346308316163373,0.011753490604164066,0.09857762237280865,0.3444238571384947,0.2734256998034413,-0.07099815733505344,-0.08075794397209417,-0.061399374977307235,1000
