model,threshold,net_benefit,cohort,line_style
M1_single_assessment,0.1,0.275880469583778,HRS,dashed
M2_repeat_assessment,0.1,0.2779217699175009,HRS,solid
M1_single_assessment,0.15,0.2387110660699711,HRS,dashed
M2_repeat_assessment,0.15,0.2464148946665111,HRS,solid
M1_single_assessment,0.2,0.2068531788382375,HRS,dashed
M2_repeat_assessment,0.2,0.2164392437871626,HRS,solid
M1_single_assessment,0.25,0.1729938506886212,HRS,dashed
M2_repeat_assessment,0.25,0.1859023225085124,HRS,solid
M1_single_assessment,0.3,0.1427264609152091,HRS,dashed
M2_repeat_assessment,0.3,0.1608259098730206,HRS,solid
M1_single_assessment,0.35,0.1163580283110698,HRS,dashed
M2_repeat_assessment,0.35,0.1355975934417769,HRS,solid
M1_single_assessment,0.4,0.0914519489759617,HRS,dashed
M2_repeat_assessment,0.4,0.1135335671088071,HRS,solid
M1_single_assessment,0.45,0.0714978724583847,HRS,dashed
M2_repeat_assessment,0.45,0.0959126252616113,HRS,solid
M1_single_assessment,0.5,0.0573258118615642,HRS,dashed
M2_repeat_assessment,0.5,0.0794328403720078,HRS,solid
treat_all,0.1,0.2725008893632159,HRS,dotted
treat_all,0.15,0.2297068240316403,HRS,dotted
treat_all,0.2,0.1815635005336179,HRS,dotted
treat_all,0.25,0.127001067235859,HRS,dotted
treat_all,0.3,0.0646440006098489,HRS,dotted
treat_all,0.35,-0.0073064608817011,HRS,dotted
M1_single_assessment,0.1,0.2272895452278686,ELSA,dashed
M2_repeat_assessment,0.1,0.2286569181024081,ELSA,solid
M1_single_assessment,0.125,0.2065399491199404,ELSA,dashed
M2_repeat_assessment,0.125,0.2100353678462843,ELSA,solid
M1_single_assessment,0.15,0.1859664960525979,ELSA,dashed
M2_repeat_assessment,0.15,0.1890750219300113,ELSA,solid
M1_single_assessment,0.175,0.1646945786224778,ELSA,dashed
M2_repeat_assessment,0.175,0.1727277114565372,ELSA,solid
M1_single_assessment,0.2,0.1432242652381641,ELSA,dashed
M2_repeat_assessment,0.2,0.1545895468365425,ELSA,solid
M1_single_assessment,0.225,0.1241610894977978,ELSA,dashed
M2_repeat_assessment,0.225,0.1373361293124786,ELSA,solid
M1_single_assessment,0.25,0.1084889725399353,ELSA,dashed
M2_repeat_assessment,0.25,0.1197818638096616,ELSA,solid
M1_single_assessment,0.2750000000000001,0.0907125704557594,ELSA,dashed
M2_repeat_assessment,0.2750000000000001,0.1042620430048476,ELSA,solid
M1_single_assessment,0.3000000000000001,0.0771887732941735,ELSA,dashed
M2_repeat_assessment,0.3000000000000001,0.090032885892159,ELSA,solid
M1_single_assessment,0.325,0.0623468408324351,ELSA,dashed
M2_repeat_assessment,0.325,0.0777472129723468,ELSA,solid
M1_single_assessment,0.3500000000000001,0.0507400518982971,ELSA,dashed
M2_repeat_assessment,0.3500000000000001,0.0673675535410007,ELSA,solid
M1_single_assessment,0.3750000000000001,0.0423338641957434,ELSA,dashed
M2_repeat_assessment,0.3750000000000001,0.0589836397857245,ELSA,solid
M1_single_assessment,0.4000000000000001,0.0349886588485111,ELSA,dashed
M2_repeat_assessment,0.4000000000000001,0.0489358621688141,ELSA,solid
M1_single_assessment,0.4250000000000001,0.0291197965517024,ELSA,dashed
M2_repeat_assessment,0.4250000000000001,0.0418982632615934,ELSA,solid
M1_single_assessment,0.4500000000000001,0.0251786724929912,ELSA,dashed
M2_repeat_assessment,0.4500000000000001,0.0359582505231846,ELSA,solid
M1_single_assessment,0.4750000000000001,0.0208897805538894,ELSA,dashed
M2_repeat_assessment,0.4750000000000001,0.028632098561156,ELSA,solid
treat_all,0.1,0.2263886878046426,ELSA,dotted
treat_all,0.125,0.2042855074562038,ELSA,dotted
treat_all,0.15,0.1808821400284451,ELSA,dotted
treat_all,0.175,0.1560603866959737,ELSA,dotted
treat_all,0.2,0.1296872737802228,ELSA,dotted
treat_all,0.225,0.1016126697086171,ELSA,dotted
treat_all,0.25,0.071666425365571,ELSA,dotted
treat_all,0.2750000000000001,0.0396549227919699,ELSA,dotted
treat_all,0.3000000000000001,0.0053568843202546,ELSA,dotted
treat_all,0.325,-0.0314817495938099,ELSA,dotted
