model,subgroup,level,n,events,global_selected_fraction,bootstrap_replicates,selection_percent,selection_percent_ci_low,selection_percent_ci_high,sensitivity,sensitivity_ci_low,sensitivity_ci_high,positive_predictive_value,positive_predictive_value_ci_low,positive_predictive_value_ci_high
M1_single_assessment,sex,female,7838,2749,0.2,1000,24.547078336310282,23.995342762706866,25.058569059371173,0.44016005820298293,0.42589725337571,0.4552910527938339,0.6288981288981289,0.6089654149094602,0.651860484883356
M1_single_assessment,sex,male,5280,1780,0.2,1000,13.257575757575758,12.516235796688822,14.023987396920845,0.2657303370786517,0.2478885925687326,0.28628668409512564,0.6757142857142857,0.6426434085698058,0.7122751926487769
M1_single_assessment,age_group,50-64,6115,2017,0.2,1000,12.264922322158627,11.55779401587803,12.967842036829106,0.2627664848785325,0.24634554338259843,0.27911835733464835,0.7066666666666667,0.6767008117683193,0.7366468760304511
M1_single_assessment,age_group,65-74,3652,1259,0.2,1000,24.260679079956187,23.2327608036825,25.586047437019495,0.4495631453534551,0.42636732764523577,0.479203306836248,0.6388261851015802,0.6077039226905716,0.6684629935852788
M1_single_assessment,age_group,75+,3351,1253,0.2,1000,29.483736198149806,27.725310154013524,30.732007641091723,0.4684756584197925,0.4430485597666257,0.49501233853400534,0.5941295546558705,0.5676970539795478,0.6309193948603523
M1_single_assessment,education,high,3251,1163,0.2,1000,16.61027376191941,15.525119173928275,17.807839050801107,0.3112639724849527,0.28703502415458937,0.3368240079407893,0.6703703703703704,0.6300572741324186,0.7108040861577447
M1_single_assessment,education,low,2103,646,0.2,1000,23.96576319543509,22.31157302686203,25.490625678315606,0.4458204334365325,0.40646074561966533,0.4836068770619677,0.5714285714285714,0.5221430606164912,0.616671052631579
M1_single_assessment,education,middle,7761,2719,0.2,1000,20.345316325215823,19.816125203830584,20.878571077468532,0.3795513056270688,0.36538984282784354,0.39538680103067353,0.6535782140595313,0.6310554206844697,0.6780986931050023
M1_single_assessment,residence,missing,1002,347,0.2,1000,18.962075848303392,16.701648776919676,21.507594851194963,0.3659942363112392,0.31443764193571044,0.4140915103882966,0.6684210526315789,0.5979090455603592,0.728218085106383
M1_single_assessment,residence,rural,3059,1090,0.2,1000,20.987250735534488,19.64583576427185,22.153176244987232,0.3678899082568807,0.34217084992734514,0.39339067251255216,0.6246105919003115,0.5897822894339922,0.6644882511229765
M1_single_assessment,residence,urban,9057,3092,0.2,1000,19.78580103787126,19.349414478070305,20.243202369349802,0.37354463130659765,0.360982906788758,0.3893056969413381,0.64453125,0.6243492388150422,0.6670533001889608
M1_single_assessment,overall,all,13118,4529,0.2,1000,20.003049245311786,20.003049245311786,20.003049245311786,0.37160521086332526,0.36278627620449233,0.3817118126671815,0.6413871951219512,0.6249904725609756,0.661204268292683
M2_repeat_assessment,sex,female,7838,2749,0.2,1000,22.87573360551161,22.35070382164559,23.42849859788786,0.44925427428155695,0.43379783748845946,0.46449627967798995,0.6887897378694925,0.6670351181990596,0.7105118931392562
M2_repeat_assessment,sex,male,5280,1780,0.2,1000,15.738636363636363,14.929496323063269,16.506924681440022,0.32640449438202246,0.3076448744146835,0.34632699954138735,0.6991576413959085,0.6666566985645933,0.7303858186029305
M2_repeat_assessment,age_group,50-64,6115,2017,0.2,1000,13.115290269828291,12.454850024385562,13.74539634886978,0.3034209221616262,0.2854998852014268,0.3201479358988639,0.7630922693266833,0.7318257600523046,0.7902064589414136
M2_repeat_assessment,age_group,65-74,3652,1259,0.2,1000,23.576122672508216,22.50582242049326,24.74146073328157,0.46386020651310567,0.4407736738499793,0.4912266597971112,0.6782810685249709,0.646508423891277,0.7105942667389537
M2_repeat_assessment,age_group,75+,3351,1253,0.2,1000,28.678006565204416,27.391803958162523,29.96716224625763,0.4948124501197127,0.4698596180373116,0.5190084612992909,0.6451612903225806,0.6143658827644385,0.6723844100080982
M2_repeat_assessment,education,high,3251,1163,0.2,1000,17.502306982466934,16.296838080257512,18.598679227219097,0.3456577815993121,0.31889796046861024,0.3701211008441639,0.7065026362038664,0.6655111141975496,0.7445997356051703
M2_repeat_assessment,education,low,2103,646,0.2,1000,23.34759866856871,21.85104550269663,25.17136650646617,0.47058823529411764,0.4365948813982522,0.5097298082304351,0.6191446028513238,0.5752550461748238,0.6590494224062772
M2_repeat_assessment,education,middle,7761,2719,0.2,1000,20.139157325086973,19.557621695860735,20.73475207670661,0.40787054063994116,0.39266990524406575,0.4229374266616594,0.7095329494561741,0.6885471256392892,0.7313432835820896
M2_repeat_assessment,residence,missing,1002,347,0.2,1000,19.560878243512974,17.170323152272896,21.8070919172256,0.39481268011527376,0.33798785960785527,0.44378588314758527,0.6989795918367347,0.630414653784219,0.7619526202440774
M2_repeat_assessment,residence,rural,3059,1090,0.2,1000,20.366132723112127,19.108780529672202,21.61400344306185,0.3981651376146789,0.369884255345182,0.42732866929994867,0.6966292134831461,0.6580613483976558,0.7304075235109718
M2_repeat_assessment,residence,urban,9057,3092,0.2,1000,19.929336424864747,19.46130756837892,20.414263694246582,0.4026520051746442,0.3891899484184431,0.41639315283257206,0.6897506925207756,0.6681461347523759,0.7108187563175642
M2_repeat_assessment,overall,all,13118,4529,0.2,1000,20.003049245311786,20.003049245311786,20.003049245311786,0.40097151689114596,0.3910833020402637,0.41082667849748594,0.6920731707317073,0.6741615853658537,0.7092225609756098
