subgroup,level,n,events,event_percent,m1_auroc,m2_auroc,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,m1_auprc,m2_auprc,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high,m1_brier,m2_brier,delta_brier,delta_brier_ci_low,delta_brier_ci_high,m2_original_mean_predicted_percent,m2_recalibrated_mean_predicted_percent,m2_recalibrated_calibration_intercept,m2_recalibrated_calibration_slope,bootstrap_replicates
sex,female,7838,2749,35.07272263332483,0.7399103881073316,0.7746958628947478,0.034785474787416226,0.029513234236680414,0.03998302935938444,0.6123861848423403,0.6619494880743116,0.049563303231971334,0.040970213452872335,0.05805638156277412,0.22496712899410826,0.19739022372341847,-0.02757690527068979,-0.029657784945438817,-0.025603782843036917,48.38550967314206,36.64568885564714,-0.09132806581241816,0.9914788086759861,1000
sex,male,5280,1780,33.71212121212121,0.7443911717495986,0.7777730337078652,0.033381861958266645,0.02733468334519825,0.03998520320992244,0.595320782539575,0.643446783223427,0.04812600068385198,0.0380085530254375,0.05789636597304835,0.20141766432357802,0.18510407701287335,-0.016313587310704675,-0.018375996062351983,-0.014298005429205167,43.32943571394658,31.389275700149806,0.16581397814626112,1.0483324253402784,1000
age_group,50-64,6115,2017,32.984464431725264,0.7569826799195613,0.7899583651214553,0.03297568520189409,0.02687299302824577,0.039382724442724226,0.6143538424005749,0.6647400561183486,0.05038621371777374,0.03989642936237986,0.06026617355935436,0.1931642559546294,0.17493121061606812,-0.018233045338561293,-0.020362678188490104,-0.016177757071543095,40.48616652749437,28.803642032992823,0.326720389609524,1.0956997474636165,1000
age_group,65-74,3652,1259,34.474260679079954,0.7405971613658716,0.7785034255657636,0.03790626419989196,0.029337682235244605,0.04582136128646392,0.6158004700202215,0.6632743611137493,0.04747389109352773,0.03436056500241358,0.06098764826453176,0.2294292154954009,0.20058941593179394,-0.028839799563606966,-0.031743034952266436,-0.025851238645384647,49.72242253928357,37.77639495849779,-0.1598812425470309,1.0594089119761607,1000
age_group,75+,3351,1253,37.391823336317515,0.7206662066331557,0.7585248216482539,0.03785861501509813,0.03003764942577676,0.04548468760622474,0.5983130706672843,0.6529374424147593,0.05462437174747492,0.04278606376651257,0.06718757363069261,0.2410333346859294,0.21552885713875175,-0.025504477547177662,-0.02832215934374939,-0.022731239846703846,53.376857642087074,41.44154566612004,-0.2131012976837135,0.9930604945452822,1000
education,high,3251,1163,35.77360812057828,0.739159690719272,0.7732193214799881,0.03405963076071605,0.025435225825546772,0.04247436999074192,0.6093048808020162,0.6545511588577433,0.04524627805572712,0.030975443224096042,0.05937461465015416,0.20784549221739182,0.18842271158532914,-0.01942278063206268,-0.022357106282113376,-0.01648867793536892,44.20743083718347,32.40032029548209,0.1846016331517665,0.9901639987205185,1000
education,low,2103,646,30.71802187351403,0.7378647120445547,0.7703735144312394,0.03250880238668463,0.022043536632778617,0.04350878990806303,0.5626214197985868,0.6194537684811784,0.05683234868259157,0.04004728859295577,0.0746068035232905,0.23295834180543082,0.2066060955314378,-0.02635224627399302,-0.030015728968343598,-0.022851048512481986,49.45738275700386,37.48267046457262,-0.3664588219881829,1.0399209866376515,1000
education,middle,7761,2719,35.03414508439634,0.7430472956915495,0.7805938392603271,0.037546543568777624,0.03276864621969135,0.04332463423818381,0.6139371304170798,0.6659853676492947,0.05204823723221497,0.04419157916365588,0.06083689217722277,0.2139462349340147,0.1902986875388421,-0.023647547395172608,-0.025693085479135628,-0.021807217681257856,46.40096879849115,34.61698956291354,0.034238500770500536,1.0203183799882973,1000
residence,missing,1002,347,34.63073852295409,0.7290824295488043,0.7766416613502871,0.047559231801482804,0.03151505585740895,0.06281460397230158,0.6326202979140034,0.6784030835367476,0.04578278562274418,0.02389312094545262,0.06654642155873433,0.21563746108945733,0.19023588427600402,-0.025401576813453314,-0.030754532758982517,-0.01987404358565254,46.154510892342316,34.35437405807748,0.037331075491080445,1.0407241083183552,1000
residence,rural,3059,1090,35.632559660019616,0.7211034800881555,0.7631725227261079,0.042069042637952414,0.033664988297268675,0.05059421627195826,0.5826027926299593,0.6443081892477184,0.06170539661775909,0.04895627325489516,0.0747692192083784,0.22299026471507996,0.19883730594791166,-0.024152958767168303,-0.026922044437941186,-0.021159759169634428,47.593139747876336,35.585887078272336,-0.004149796521970633,0.9863734275558069,1000
residence,urban,9057,3092,34.13933973721983,0.7452307227694106,0.777867145454999,0.03263642268558842,0.02788630330782616,0.037169314048244924,0.6056234910321411,0.6531412727785291,0.04751778174638799,0.0393112532846485,0.055422562940751006,0.2129382432272548,0.19053046541160512,-0.022407777815649677,-0.024166096746072303,-0.020793048943482943,45.9523916291095,34.192776147590216,-0.0037673239419679207,0.9986415003563052,1000
