cohort,variable,n,missing_n,missing_percent
CHARLS,age,7264,0,0.0
CHARLS,female,7264,0,0.0
CHARLS,education_level,7264,0,0.0
CHARLS,index_cognition,7264,0,0.0
CHARLS,previous_cognition,7264,0,0.0
CHARLS,married_partnered,7264,0,0.0
CHARLS,rural,7264,0,0.0
CHARLS,self_rated_health,7264,4,0.05506607929515418
CHARLS,cesd_fraction,7264,5,0.06883259911894272
CHARLS,ever_smoked,7264,0,0.0
CHARLS,current_smoker,7264,1890,26.01872246696035
CHARLS,drinks_alcohol,7264,8,0.11013215859030837
CHARLS,hypertension,7264,55,0.7571585903083701
CHARLS,diabetes,7264,98,1.3491189427312775
CHARLS,heart_disease,7264,57,0.7846916299559471
CHARLS,stroke,7264,26,0.3579295154185022
CHARLS,adl_difficulty_count,7264,1,0.013766519823788546
CHARLS,working,7264,19,0.2615638766519824
HRS,age,13118,0,0.0
HRS,female,13118,0,0.0
HRS,education_level,13118,3,0.02286933983839
HRS,index_cognition,13118,0,0.0
HRS,previous_cognition,13118,0,0.0
HRS,married_partnered,13118,13,0.09910047263302332
HRS,rural,13118,1002,7.638359506022259
HRS,self_rated_health,13118,7,0.05336179295624333
HRS,cesd_fraction,13118,0,0.0
HRS,ever_smoked,13118,63,0.48025613660619
HRS,current_smoker,13118,65,0.49550236316511664
HRS,drinks_alcohol,13118,2,0.015246226558926665
HRS,hypertension,13118,0,0.0
HRS,diabetes,13118,0,0.0
HRS,heart_disease,13118,0,0.0
HRS,stroke,13118,0,0.0
HRS,adl_difficulty_count,13118,6,0.04573867967678
HRS,working,13118,18,0.13721603903034
