characteristic,CHARLS,HRS,ELSA
"Participants, No.",7264,13118,6907
"Memory decline, No. (%)",2886 (39.7%),4529 (34.5%),2098 (30.4%)
"Age at index assessment, mean (SD), y",62.8 (7.2),67.3 (9.7),67.9 (8.7)
"Female sex, No. (%)",3584 (49.3%),7838 (59.7%),3872 (56.1%)
"Education: low, No. (%)",6483 (89.2%),2103 (16.0%),1660 (26.0%)
"Education: middle, No. (%)",688 (9.5%),7761 (59.2%),3368 (52.7%)
"Education: high, No. (%)",93 (1.3%),3251 (24.8%),1364 (21.3%)
"Rural residence, No. (%)",4587 (63.1%),3059 (25.2%),
"Previous memory score, mean (SD)",7.1 (3.2),10.2 (3.2),11.2 (3.3)
"Index memory score, mean (SD)",7.1 (3.3),10.1 (3.3),10.8 (3.6)
"Previous-to-index change, mean (SD)",-0.0 (3.6),-0.1 (3.2),-0.4 (3.0)
"Outcome memory score, mean (SD)",6.3 (3.5),9.7 (3.4),10.6 (3.8)
"Hypertension, No. (%)",2271 (31.5%),7913 (60.3%),
"Diabetes, No. (%)",601 (8.4%),3164 (24.1%),
"Heart disease, No. (%)",1135 (15.7%),2974 (22.7%),
"Stroke, No. (%)",217 (3.0%),959 (7.3%),
"ADL difficulty count, mean (SD)",0.3 (0.8),0.3 (0.8),
